claim_id,report_section,claim,artifact_path,exact_locator,collection_time_utc,sha256,proves,does_not_prove,confidence,alternative_considered,disposition
IAM-04,Access Control,IAM-04 evidence_supplied=false and no termination-event export exists in telemetry to test against.,input/vendor-claims.json,$.claims[?(@.claim_id=='IAM-04')].evidence_supplied,2026-07-02T00:00:00Z,21feb862f2fd831d893144386cb6ad12fe7ca9c63832cf4707461b8eadf0d670,That the vendor marked evidence_supplied=false for this claim and no telemetry export exists to test it independently.,"Does not prove termination access removal is broken, only that it is untested.",medium,IAM-04 could be operating correctly with evidence simply not exported this cycle; weakened because the vendor's own SIG response marks evidence_supplied=false rather than 'not yet exported'.,insufficient
LOG-07,Logging & Monitoring,"SOC 2 exception EX-CC7.2: alert-review evidence absent for 7 of 40 sampled days, contradicting the LOG-07 claim of daily review with retained evidence.",input/assurance-and-contract.json,$.assurance_report.exceptions[?(@.id=='EX-CC7.2')],2025-02-28T00:00:00Z,3407ed2a89bbc18e3671f4c53950befd8db913c9ba02ab2ddcc244da0155474a,That the vendor's own SOC 2 auditor recorded missing alert-review evidence for the sampled days stated in this row's claim text.,"Does not prove alerts were actually missed, only that review evidence for them was not retained.",high,The 7 missing review-days could be documentation-only gaps with reviews actually performed; weakened because the SOC 2 report itself records management's own admission that reviews were not retained.,fail
ENC-03,Encryption,api.peopleflow.invalid observed at TLSv1.3; vendor-claimed minimum is TLSv1.2.,input/vendor-telemetry.json,$.tls.observations[0] (endpoint=api.peopleflow.invalid),2026-07-13T09:00:00Z,6d744d4d5a2e3b4e2385176c6d105c8593dbbf8f2451601f86d2a54e79c947d6,See message.,No further inference beyond the stated finding.,medium,No material alternative reading changes the disposition.,pass
ENC-03,Encryption,files.peopleflow.invalid observed at TLSv1.0; vendor-claimed minimum is TLSv1.2.,input/vendor-telemetry.json,$.tls.observations[1] (endpoint=files.peopleflow.invalid),2026-07-13T09:00:00Z,6d744d4d5a2e3b4e2385176c6d105c8593dbbf8f2451601f86d2a54e79c947d6,"That at least one PeopleFlow endpoint served TLSv1.0 at the observed time, below the vendor's own claimed minimum.",Does not prove data was intercepted or that the endpoint carries regulated data; scope of that endpoint's traffic is not stated in this export.,high,"The endpoint could be a decommissioned/legacy path not in production use; weakened because it is present in the current, dated telemetry export with no retirement note.",fail
DEL-05,Data Deletion,"DEL-710: status reported at 2026-06-20T12:00:00Z, completion event at 2026-06-20T12:14:00Z.",input/vendor-telemetry.json,$.deletion_jobs[0] (job_id=DEL-710),2026-07-13T09:00:00Z,6d744d4d5a2e3b4e2385176c6d105c8593dbbf8f2451601f86d2a54e79c947d6,That the deletion job's reported-success timestamp precedes its own completion-event timestamp.,Does not prove data was retained after the claimed deletion; only that the reporting sequence is inverted.,high,The completed_at field could be a corrected retroactive timestamp rather than reporting order; weakened because no correction/amendment marker exists on the record.,fail
DEL-05,Data Deletion,"DEL-710: status=success, backup_purge_at=None.",input/vendor-telemetry.json,$.deletion_jobs[0].backup_purge_at (job_id=DEL-710),2026-07-13T09:00:00Z,6d744d4d5a2e3b4e2385176c6d105c8593dbbf8f2451601f86d2a54e79c947d6,That no backup-purge timestamp exists for a job marked successful.,"Does not prove the backup was never purged, only that no evidence of purge exists in this export.",medium,Backup purge could have occurred but gone unlogged; weakened because absence of a required field is exactly what 'insufficient' is defined to capture -- it cannot be inferred as conforming.,insufficient
DEL-05,Data Deletion,"DEL-711: status reported at 2026-06-21T12:00:00Z, completion event at 2026-06-21T11:58:00Z.",input/vendor-telemetry.json,$.deletion_jobs[1] (job_id=DEL-711),2026-07-13T09:00:00Z,6d744d4d5a2e3b4e2385176c6d105c8593dbbf8f2451601f86d2a54e79c947d6,See message.,No further inference beyond the stated finding.,medium,No material alternative reading changes the disposition.,pass
DEL-05,Data Deletion,"DEL-711: status=success, backup_purge_at=2026-07-21T12:00:00Z.",input/vendor-telemetry.json,$.deletion_jobs[1].backup_purge_at (job_id=DEL-711),2026-07-13T09:00:00Z,6d744d4d5a2e3b4e2385176c6d105c8593dbbf8f2451601f86d2a54e79c947d6,See message.,No further inference beyond the stated finding.,medium,No material alternative reading changes the disposition.,pass
LOC-02,Data Residency,"QueueNorth (SP-01) processes ['employee_id', 'email'] in us-east-1; LOC-02 claims data remains exclusively in us-east-1.",input/vendor-telemetry.json,"$.subprocessors[0] (id=SP-01, name=QueueNorth)",2026-07-13T09:00:00Z,6d744d4d5a2e3b4e2385176c6d105c8593dbbf8f2451601f86d2a54e79c947d6,See message.,No further inference beyond the stated finding.,medium,No material alternative reading changes the disposition.,pass
LOC-02,Data Residency,"AssistWorks (SP-02) processes ['support_case', 'employee_id'] in Philippines; LOC-02 claims data remains exclusively in us-east-1.",input/vendor-telemetry.json,"$.subprocessors[1] (id=SP-02, name=AssistWorks)",2026-07-13T09:00:00Z,6d744d4d5a2e3b4e2385176c6d105c8593dbbf8f2451601f86d2a54e79c947d6,That subprocessors outside us-east-1 process in-scope data classes.,Does not by itself prove a DPA breach; contractual consequence depends on whether these regions were properly disclosed elsewhere.,high,"The flagged subprocessor(s) could be internal vendor infrastructure mislabeled as external regions; weakened because each carries a distinct subprocessor ID, name, and parent relationship in the vendor's own telemetry schema.",fail
LOC-02,Data Residency,ArchiveLane (SP-03) processes ['backup'] in eu-west-1; LOC-02 claims data remains exclusively in us-east-1.,input/vendor-telemetry.json,"$.subprocessors[2] (id=SP-03, name=ArchiveLane)",2026-07-13T09:00:00Z,6d744d4d5a2e3b4e2385176c6d105c8593dbbf8f2451601f86d2a54e79c947d6,That subprocessors outside us-east-1 process in-scope data classes.,Does not by itself prove a DPA breach; contractual consequence depends on whether these regions were properly disclosed elsewhere.,high,"The flagged subprocessor(s) could be internal vendor infrastructure mislabeled as external regions; weakened because each carries a distinct subprocessor ID, name, and parent relationship in the vendor's own telemetry schema.",fail
GEN,Verification Engine / General Controls,event_id list has 4 entries and 3 distinct values.,input/vendor-telemetry.json,$.privileged_access[*].event_id,2026-07-13T09:00:00Z,6d744d4d5a2e3b4e2385176c6d105c8593dbbf8f2451601f86d2a54e79c947d6,That the same event_id appears more than once in the privileged-access export.,Does not prove data corruption; could be an export artifact.,high,"Could be a legitimate retry/replay logged twice by the export tool; weakened because both copies carry identical timestamps and hashes, which a genuine retry would not.",malformed
GEN,Verification Engine / General Controls,"PA-001 (support-44, us-east-1): mfa=True, approved_ticket=SUP-882.",input/vendor-telemetry.json,$.privileged_access[event_id=PA-001].mfa,2026-07-13T09:00:00Z,6d744d4d5a2e3b4e2385176c6d105c8593dbbf8f2451601f86d2a54e79c947d6,See message.,No further inference beyond the stated finding.,medium,No material alternative reading changes the disposition.,pass
GEN,Verification Engine / General Controls,"PA-002 (support-19, ap-southeast-1): mfa=False, approved_ticket=None.",input/vendor-telemetry.json,$.privileged_access[event_id=PA-002].mfa,2026-07-13T09:00:00Z,6d744d4d5a2e3b4e2385176c6d105c8593dbbf8f2451601f86d2a54e79c947d6,That a privileged access event occurred without MFA.,Does not prove the access was malicious or that data was exfiltrated.,high,The session could have used an out-of-band compensating control not captured in this schema; weakened because no compensating-control field exists in the telemetry export.,fail
GEN,Verification Engine / General Controls,"PA-003 (support-44, us-east-1): mfa=True, approved_ticket=SUP-901.",input/vendor-telemetry.json,$.privileged_access[event_id=PA-003].mfa,2026-07-13T09:00:00Z,6d744d4d5a2e3b4e2385176c6d105c8593dbbf8f2451601f86d2a54e79c947d6,See message.,No further inference beyond the stated finding.,medium,No material alternative reading changes the disposition.,pass
GEN,Verification Engine / General Controls,PA-002.previous_hash correctly chains from PA-001.hash.,input/vendor-telemetry.json,$.privileged_access[event_id=PA-002].previous_hash vs $.privileged_access[event_id=PA-001].hash,2026-07-13T09:00:00Z,6d744d4d5a2e3b4e2385176c6d105c8593dbbf8f2451601f86d2a54e79c947d6,See message.,No further inference beyond the stated finding.,medium,No material alternative reading changes the disposition.,pass
GEN,Verification Engine / General Controls,PA-003.previous_hash=WRONG does not chain from PA-002.hash=98abc.,input/vendor-telemetry.json,$.privileged_access[event_id=PA-003].previous_hash vs $.privileged_access[event_id=PA-002].hash,2026-07-13T09:00:00Z,6d744d4d5a2e3b4e2385176c6d105c8593dbbf8f2451601f86d2a54e79c947d6,That a privileged-access log entry's previous_hash does not match the prior entry's hash.,"Does not prove which specific entries were altered, only that chain continuity is broken at this point.",high,"Could be an export artifact rather than a genuine tamper/loss event; weakened because the schema defines previous_hash specifically to prove chain continuity, and it does not match here.",fail
