id,artifact_a,locator_a,claim_a,artifact_b,locator_b,contrary_fact,evidence_quality,risk_consequence,follow_up,decision_effect
CON-001,input/vendor-claims.json,$.claims[?(@.claim_id=='IAM-04')],IAM-04,input/vendor-claims.json,$.claims[?(@.claim_id=='IAM-04')].evidence_supplied,IAM-04 evidence_supplied=false and no termination-event export exists in telemetry to test against.,medium,insufficient,mapped to condition in vendor-risk-register.csv,insufficient
CON-002,input/vendor-claims.json,$.claims[?(@.claim_id=='LOG-07')],LOG-07,input/assurance-and-contract.json,$.assurance_report.exceptions[?(@.id=='EX-CC7.2')],"SOC 2 exception EX-CC7.2: alert-review evidence absent for 7 of 40 sampled days, contradicting the LOG-07 claim of daily review with retained evidence.",high,fail,mapped to condition in vendor-risk-register.csv,fail
CON-003,input/vendor-claims.json,$.claims[?(@.claim_id=='ENC-03')],ENC-03,input/vendor-telemetry.json,$.tls.observations[1] (endpoint=files.peopleflow.invalid),files.peopleflow.invalid observed at TLSv1.0; vendor-claimed minimum is TLSv1.2.,high,fail,mapped to condition in vendor-risk-register.csv,fail
CON-004,input/vendor-claims.json,$.claims[?(@.claim_id=='DEL-05')],DEL-05,input/vendor-telemetry.json,$.deletion_jobs[0] (job_id=DEL-710),"DEL-710: status reported at 2026-06-20T12:00:00Z, completion event at 2026-06-20T12:14:00Z.",high,fail,mapped to condition in vendor-risk-register.csv,fail
CON-005,input/vendor-claims.json,$.claims[?(@.claim_id=='DEL-05')],DEL-05,input/vendor-telemetry.json,$.deletion_jobs[0].backup_purge_at (job_id=DEL-710),"DEL-710: status=success, backup_purge_at=None.",medium,insufficient,mapped to condition in vendor-risk-register.csv,insufficient
CON-006,input/vendor-claims.json,$.claims[?(@.claim_id=='LOC-02')],LOC-02,input/vendor-telemetry.json,"$.subprocessors[1] (id=SP-02, name=AssistWorks)","AssistWorks (SP-02) processes ['support_case', 'employee_id'] in Philippines; LOC-02 claims data remains exclusively in us-east-1.",high,fail,mapped to condition in vendor-risk-register.csv,fail
CON-007,input/vendor-claims.json,$.claims[?(@.claim_id=='LOC-02')],LOC-02,input/vendor-telemetry.json,"$.subprocessors[2] (id=SP-03, name=ArchiveLane)",ArchiveLane (SP-03) processes ['backup'] in eu-west-1; LOC-02 claims data remains exclusively in us-east-1.,high,fail,mapped to condition in vendor-risk-register.csv,fail
CON-008,n/a,n/a,(general control),input/vendor-telemetry.json,$.privileged_access[*].event_id,event_id list has 4 entries and 3 distinct values.,medium,malformed,mapped to condition in vendor-risk-register.csv,malformed
CON-009,n/a,n/a,(general control),input/vendor-telemetry.json,$.privileged_access[event_id=PA-002].mfa,"PA-002 (support-19, ap-southeast-1): mfa=False, approved_ticket=None.",high,fail,mapped to condition in vendor-risk-register.csv,fail
CON-010,n/a,n/a,(general control),input/vendor-telemetry.json,$.privileged_access[event_id=PA-003].previous_hash vs $.privileged_access[event_id=PA-002].hash,PA-003.previous_hash=WRONG does not chain from PA-002.hash=98abc.,high,fail,mapped to condition in vendor-risk-register.csv,fail
CON-011,input/vendor-claims.json,$.claims[?(@.claim_id=='IR-08')],IR-08,input/assurance-and-contract.json,$.contract.incident_notice.basis,"Notice clock basis is 'vendor_confirmation': the 72-hour window starts only when PeopleFlow itself confirms an incident, so the customer has no independent trigger.",high,fail,mapped to condition in vendor-risk-register.csv,fail
CON-012,n/a,n/a,(general control),input/assurance-and-contract.json,$.subprocessors[1] (id=HELP-SPHERE),"HELP-SPHERE (tier_1_support, Philippines): assurance=self-assessment.",medium,insufficient,mapped to condition in vendor-risk-register.csv,insufficient
CON-013,input/vendor-claims.json,$.claims[?(@.claim_id=='LOC-02')],LOC-02,input/vendor-telemetry.json,"$.subprocessors[0] (id=SP-01, name=QueueNorth)","Telemetry shows subprocessor QueueNorth (SP-01) handling ['employee_id', 'email'] in us-east-1; this name/id does not appear in the DPA-disclosed subprocessor list (['AWS', 'HELP-SPHERE', 'MAIL-RELAY']).",high,fail,mapped to condition in vendor-risk-register.csv,fail
CON-014,input/vendor-claims.json,$.claims[?(@.claim_id=='LOC-02')],LOC-02,input/vendor-telemetry.json,"$.subprocessors[1] (id=SP-02, name=AssistWorks)","Telemetry shows subprocessor AssistWorks (SP-02) handling ['support_case', 'employee_id'] in Philippines; this name/id does not appear in the DPA-disclosed subprocessor list (['AWS', 'HELP-SPHERE', 'MAIL-RELAY']).",high,fail,mapped to condition in vendor-risk-register.csv,fail
CON-015,input/vendor-claims.json,$.claims[?(@.claim_id=='LOC-02')],LOC-02,input/vendor-telemetry.json,"$.subprocessors[2] (id=SP-03, name=ArchiveLane)","Telemetry shows subprocessor ArchiveLane (SP-03) handling ['backup'] in eu-west-1; this name/id does not appear in the DPA-disclosed subprocessor list (['AWS', 'HELP-SPHERE', 'MAIL-RELAY']).",high,fail,mapped to condition in vendor-risk-register.csv,fail
