risk_id,condition_id,description,owner,due_date_note,evidence_of_closure,fail_closed_action,related_evidence_codes,status,residual_after_closure
RISK-01,COND-01,"PeopleFlow discloses QueueNorth, AssistWorks, ArchiveLane on the contractual subprocessor list (or ceases routing CloudScale Dynamics data through them) and confirms no other undisclosed subprocessors exist.",PeopleFlow Vendor Manager / CloudScale Chief People Officer,10 days from decision issue date,"Updated, countersigned subprocessor list matching telemetry-observed processors; written confirmation of completeness.",Suspend data transmission to any subprocessor not on the disclosed list.,UNDISCLOSED_SUBPROCESSOR,open,See vendor-risk-memo.pdf Residual Risk section
RISK-02,COND-02,"PeopleFlow provides a corrected data-residency statement reflecting actual processing regions (Philippines, eu-west-1), or relocates processing to match the us-east-1-exclusive claim.",PeopleFlow Compliance Lead,15 days from decision issue date,Signed data-flow map matching telemetry; or telemetry re-export showing all regions collapsed to us-east-1.,Treat LOC-02 as false for contractual purposes; apply cross-border transfer terms to all affected data classes until corrected.,REGION_CLAIM_CONTRADICTED,open,See vendor-risk-memo.pdf Residual Risk section
RISK-03,COND-03,"HelpSphere (tier-1 support, ticket/attachment access) provides an independent assurance report (SOC 2, ISO 27001, or equivalent) and enables session recording for privileged support access to attachments.",PeopleFlow Vendor Manager,30 days from decision issue date,Independent assurance report + configuration export showing session recording enabled.,Restrict HelpSphere from attachment access until assurance is provided.,ASSURANCE_MISSING,open,See vendor-risk-memo.pdf Residual Risk section
RISK-04,COND-04,PeopleFlow enforces MFA on all privileged support access; retroactively investigates the PA-002 non-MFA session(s) for unauthorized activity.,PeopleFlow Security Lead,7 days from decision issue date,MFA enforcement policy export + investigation summary for PA-002.,Suspend the affected actor's privileged access pending investigation.,PRIVILEGED_MFA_MISSING,open,See vendor-risk-memo.pdf Residual Risk section
RISK-05,COND-05,"PeopleFlow explains and remediates the broken privileged-access hash chain (integrity of the audit log itself), and re-exports a verifiably unbroken log for the affected period.",PeopleFlow Security Lead,14 days from decision issue date,"Re-exported, independently hash-verified access log covering the gap period.",Treat the access log as unverifiable for the affected period; do not rely on it for LOG-07 evidence until remediated.,HASH_CHAIN_BROKEN,open,See vendor-risk-memo.pdf Residual Risk section
RISK-06,COND-06,"PeopleFlow corrects deletion-job status reporting to fire only after the completion event, and supplies backup-purge evidence (timestamp + verification) for every deletion job, including DEL-710.",PeopleFlow Data Protection Officer,30 days from decision issue date,Corrected deletion pipeline export; backup_purge_at populated and verifiable for all sampled jobs.,Treat DEL-05 as unproven; escalate to legal if termination deletion is contractually represented as complete before evidence exists.,SUCCESS_BEFORE_COMPLETION;BACKUP_PURGE_UNPROVEN,open,See vendor-risk-memo.pdf Residual Risk section
RISK-07,COND-07,"DPA is amended so the 72-hour notice clock starts at vendor discovery/should-have-discovered, not solely at vendor confirmation, and PeopleFlow commits to an interim notice within 24h of any suspected incident.",CloudScale Legal / PeopleFlow Legal,30 days from decision issue date,Countersigned DPA amendment.,"Escalate any suspected incident internally at CloudScale on independent detection, without waiting on PeopleFlow confirmation.",CUSTOMER_CLOCK_DELAYED,open,See vendor-risk-memo.pdf Residual Risk section
RISK-08,COND-08,PeopleFlow remediates the EX-CC7.2 alert-review gap (7 of 40 days missing evidence) and demonstrates a full review cycle with retained evidence for one subsequent audit period.,PeopleFlow Security Lead,60 days from decision issue date,Bridge letter or interim testing evidence for the remediation period.,Do not rely on LOG-07 as met until remediation evidence exists.,AUDIT_EXCEPTION_CONTRADICTS_CLAIM,open,See vendor-risk-memo.pdf Residual Risk section
RISK-09,COND-09,PeopleFlow supplies a termination-access export (IAM-04) so the 24-hour de-provisioning claim can be tested against evidence rather than accepted on questionnaire text alone.,PeopleFlow Vendor Manager,15 days from decision issue date,Termination-access log export covering at least one full quarter.,Treat IAM-04 as unverified; do not represent it as tested in any downstream audit.,EVIDENCE_NOT_SUPPLIED,open,See vendor-risk-memo.pdf Residual Risk section
RISK-RES-01,n/a,"Even after all conditions close, PeopleFlow remains a single vendor with access to regulated PII (bank details, tax IDs) and no customer-side ability to independently detect an incident before PeopleFlow chooses to confirm one.",CloudScale GRC (Rosemary Gift Nelson),n/a (accepted residual),n/a,n/a,n/a,accepted-residual,n/a
RISK-RES-02,n/a,Historical processing that already occurred in undisclosed regions/subprocessors cannot be un-processed; conditions govern going-forward state only.,CloudScale GRC (Rosemary Gift Nelson),n/a (accepted residual),n/a,n/a,n/a,accepted-residual,n/a
RISK-RES-03,n/a,SOC 2 Type II carve-out method means subservice organisations' controls are not directly tested by PeopleFlow's own auditor.,CloudScale GRC (Rosemary Gift Nelson),n/a (accepted residual),n/a,n/a,n/a,accepted-residual,n/a
